,store,sido,gungu,store_address,store_phone
0,매탄점,경기,수원시,경기 수원시 영통구 매영로45번길22-1,031-287-1898
1,서울대입구점,서울,관악구,서울 관악구 청룡7길41,02-877-5280
2,회기점,서울,동대문구,서울 동대문구 이문로65,02-966-4050
3,화곡곰달래점,서울,강서구,서울 강서구 곰달래로49길11,02-2603-8999
4,인천논현점,인천,남동구,인천 남동구 앵고개로847번길64,032-435-5599
5,오산시티자이점,경기,오산시,경기 오산시 부산중앙로42,031-373-1599
6,부산부곡점,부산,금정구,"부산 금정구 동부곡로6번길 5, 1층 (부곡동)",051-923-1463
7,창녕점,경남,창녕군,경남 창녕군 창녕읍 종로54-1,055-533-0804
8,황금점,대구,수성구,대구 수성구 동대구로20길96,053-763-9995
9,육사점,서울,노원구,서울 노원구 공릉동 공릉 사서함77-5,02-2197-5941
10,불광역점,서울,은평구,서울 은평구 통일로66길12-1,02-356-7174
11,민둥산점,강원,정선군,강원 정선군 남면 무릉1로94,033-591-2684
12,오송2산단점,충북,청주시,충북 청주시 흥덕구 오송읍 오송생명7로118,043-237-2377
13,양재점,서울,서초구,서울 서초구 바우뫼로41길24,02-576-9204
14,마전점,인천,서구,인천 서구 완정로126,032-563-9909
15,면목사가정점,서울,중랑구,서울 중랑구 사가정로42길37,02-6369-6002
16,대구율하점,대구,동구,대구 동구 율하동로10길22,053-962-8002
17,이매점,경기,성남시,경기 성남시 분당구 판교로431,070-4821-0135
18,칠암점,경남,진주시,경남 진주시 진주대로856번길5,055-758-0119
19,삼도점,제주,제주시,제주 제주시 서광로265,064-725-2588
20,당산점,서울,영등포구,서울 영등포구 선유로53길10,02-2633-9282
21,루원시티점,인천,서구,인천 서구 청중로478번길24,032-566-3977
22,안정점,경남,통영시,경남 통영시 광도면 안정1길42,055-649-5585
23,의정부중앙점,경기,의정부시,경기 의정부시 태평로135,031-848-3999
24,대구상동점,대구,수성구,대구 수성구 상화로47,053-768-7776
25,미아역점,서울,강북구,서울 강북구 도봉로146,02-981-8888
26,범박점,경기,부천시,경기 부천시 소사구 양지남로51번길7-7,032-344-1145
27,송도레이크점,인천,연수구,인천 연수구 아카데미로312번길177,032-833-8323
28,부산역점,부산,동구,부산 동구 초량로 46-2 (초량동),051-441-7922
29,자양우송대점,대전,동구,대전 동구 대동로12,042-622-5144
30,신대점,전남,순천시,전남 순천시 해룡면 신대로10,061-727-9282
31,성주가천점,경북,성주군,경북 성주군 가천면 창금로317,054-932-9282
32,서부정류장점,대구,달서구,대구 달서구 구마로230,053-652-5222
33,별내점,경기,남양주시,경기 남양주시 별내동1007-4,031-528-1282
34,대련점,경북,포항시,경북 포항시 북구 흥해읍 연화길12,054-261-4327
35,노은점,대전,유성구,대전 유성구 은구비남로33번길5,042-822-7992
36,고곡점,경남,창녕군,경남 창녕군 남지읍 고곡길2,055-536-3710
37,개포점,서울,강남구,서울 강남구 논현로16길10-3,02-529-5557
38,양평역점,서울,영등포구,서울 영등포구 영등포로55,02-2675-7787
39,연제점,부산,연제구,부산 연제구 안연로30,051-715-8288
40,나사렛역점,충남,천안시,충남 천안시 서북구 쌍용19로21,041-571-9292
41,광교웰빙타운점,경기,수원시,경기 수원시 영통구 대학로101,031-216-8818
42,만수시장점,인천,남동구,인천 남동구 만수로7,032-465-7479
43,산본역점,경기,군포시,경기 군포시 번영로495,031-391-7776
44,경성부경대점,부산,남구,부산 남구 수영로266번길108,051-256-8066
45,송산효자점,경기,의정부시,경기 의정부시 부용로 207-1,031-928-6633
46,거여점,서울,송파구,서울 송파구 오금로64길3,02-402-9288
47,신월남부점,서울,양천구,서울 양천구 오목로15,02-2694-0310
48,화곡역점,서울,강서구,서울 강서구 화곡로31다길20,02-2604-2299
49,영통구청점,경기,수원시,경기 수원시 영통구 인계로292번길42-5,031-212-3451
50,백양점,부산,부산진구,부산 부산진구 개금본동로17번길10,051-987-1059
51,성본점,충북,음성군,충북 음성군 대소면 성본상가로49,043-877-8292
52,죽변항점,경북,울진군,경북 울진군 죽변면 죽변중앙로168-58,054-782-8259
53,복현점,대구,북구,대구 북구 동북로61길11-2,053-944-8292
54,만촌점,대구,수성구,대구 수성구 만촌로49-2,053-741-7779
55,대구불로점,대구,동구,대구 동구 팔공로31길6-3,053-985-1839
56,대구시청점,대구,중구,대구 중구 경상감영길227,053-255-3303
57,공릉점,서울,노원구,서울 노원구 동일로173가길64,02-971-9282
58,신촌점,서울,서대문구,서울 서대문구 이화여대3길27,02-363-9282
59,목행점,충북,충주시,충북 충주시 행정9길32,043-723-1315
60,고한사북점,강원,정선군,강원 정선군 고한읍 고한2길55,033-591-4477
61,둔내점,강원,횡성군,강원 횡성군 둔내면 둔내로56,033-344-9192
62,엄궁점,부산,사상구,부산 사상구 대동로40,051-322-5785
63,통진점,경기,김포시,경기 김포시 통진읍 마송1로9,031-996-2221
64,대림점,서울,영등포구,서울 영등포구 디지털로397,02-833-8292
65,원미점,경기,부천시,경기 부천시 원미구 조종로7번길33,032-666-6668
66,광명소하점,경기,광명시,경기 광명시 소하로92번길12,02-899-5589
67,산곡점,인천,부평구,인천 부평구 화랑북로7,032-513-8882
68,동수역점,인천,부평구,인천 부평구 동수로7,032-501-9341
69,사송점,경남,양산시,경남 양산시 동면 내송큰들로141,055-785-0301
70,동래시장점,부산,동래구,부산 동래구 명륜로112번길41,051-555-8485
71,송탄신장점,경기,평택시,경기 평택시 지산로11번길6,031-666-2095
72,풍무역점,경기,김포시,경기 김포시 풍무로176,031-988-4888
73,운남점,인천,중구,인천 중구 흰바위로284,032-751-3355
74,석바위시장역점,인천,남동구,인천 남동구 구월로40번길13,032-710-6424
75,세류2점,경기,수원시,경기 수원시 권선구 정조로431-2,031-222-7292
76,호계점,경기,안양시,경기 안양시 동안구 엘에스로45번길20,031-427-9969
77,강남반포점,서울,서초구,서울 서초구 강남대로79길48,02-545-1005
78,둔촌점,서울,강동구,서울 강동구 명일로13길20,02-476-2016
79,상도점,서울,동작구,서울 동작구 상도로30길19,02-6080-5280
80,남산외대점,부산,금정구,"부산 금정구 남산로28, 1층(남산동, 산정빌딩)",051-517-9989
81,오전점,경기,의왕시,경기 의왕시 전주남이길8,031-427-9989
82,오성점,전남,광양시,전남 광양시 광양읍 예구6길29,061-913-9282
83,망양이편한세상점,울산,울주군,울산 울주군 온양읍 망양3길42,052-238-5127
84,지사동점,부산,강서구,부산 강서구 과학산단로334번길7,051-710-0360
85,중마점,전남,광양시,전남 광양시 길호1길30,061-793-9289
86,개금점,부산,부산진구,부산 부산진구 가야공원로22,051-715-7792
87,사남점,경남,사천시,경남 사천시 사남면 월성1길15-31,055-786-7676
88,낙민수안점,부산,동래구,부산 동래구 수안로8번길35,051-924-0092
89,송절점,충북,청주시,충북 청주시 흥덕구 송화로150번길7-16,043-267-3622
90,의정부용현점,경기,의정부시,경기 의정부시 용민로18,031-853-8539
91,반달섬점,경기,안산시,경기 안산시 단원구 엠티브이17로36,031-8042-2822
92,소사점,경기,부천시,경기 부천시 소사구 호현로455,032-211-9100
93,북위례점,경기,하남시,경기 하남시 위례대로6길20-2,02-402-7292
94,내곡회산점,강원,강릉시,강원 강릉시 범일로579번길29-6,033-643-3744
95,영등포본동점,서울,영등포구,서울 영등포구 영신로9나길17,02-845-0451
96,병방점,인천,계양구,인천 계양구 계양산로215번길20,032-544-5592
97,수청지구점,충남,당진시,충남 당진시 대덕1로102-15,041-355-5566
98,아주대점,경기,수원시,경기 수원시 팔달구 중부대로220번길10,031-217-4941
99,담빛호수점,전남,담양군,전남 담양군 담양읍 태왕3로88-9,061-383-9282
100,동명계림점,광주,동구,광주 동구 필문대로252,062-710-9585
101,범물점,대구,수성구,대구 수성구 범물동1369-11,053-782-7631
102,삼계에버랜드점,경기,용인시,경기 용인시 처인구 포곡읍 포곡로297번길1,031-337-3133
103,연동점,제주,제주시,제주 제주시 사장2길31,064-742-7792
104,완도점,전남,완도군,전남 완도군 완도읍 개포로154-6,061-552-9283
105,지웰복대점,충북,청주시,충북 청주시 흥덕구 증안로22번길13-12,043-236-5444
106,진주혁신도시점,경남,진주시,경남 진주시 충의로119,055-755-1158
107,용이스타필드점,경기,평택시,경기 평택시 현신7길23,031-692-9992
108,센텀점,부산,해운대구,부산 해운대구 해운대로 76번길52,051-784-6667
109,박사로점,강원,춘천시,강원 춘천시 서면 박사로 929,033-242-5485
110,서창2점,인천,남동구,인천 남동구 서창남순환로10번길16-10,032-467-4407
111,작전점,인천,계양구,인천 계양구 주부토로386,032-546-7773
112,삼척교동점,강원,삼척시,강원 삼척시 청석로75-19,033-572-9392
113,신창점,충남,아산시,충남 아산시 신창면 행목로217,041-545-9989
114,둔곡점,대전,유성구,대전 유성구 과학지원4길13,042-933-2365
115,주안북부점,인천,미추홀구,인천 미추홀구 길파로27번길43,032-875-3224
116,보라점,경기,용인시,경기 용인시 기흥구 한보라1로10번길5,031-283-7942
117,동탄호수점,경기,화성시,경기 화성시 동탄대로1길32,031-374-9399
118,김천부상점,경북,김천시,경북 김천시 남면 농남로1053,054-434-7999
119,강릉옥계점,강원,강릉시,강원 강릉시 옥계면 현내시장길57,033-533-9979
120,쌍촌점,광주,서구,광주 서구 월드컵4강로181번길26,062-371-9281
121,송도월드마크점,인천,연수구,인천 연수구 컨벤시아대로50,032-832-8328
122,망포아이파크캐슬점,경기,화성시,경기 화성시 동탄지성로469번길60,031-8050-0917
123,성남은행점,경기,성남시,경기 성남시 중원구 산성대로582번길10,031-733-9292
124,봉선점,광주,남구,광주 남구 대남대로171번길7,062-710-8595
125,호명점,경북,예천군,경북 예천군 호명면 행복로177,054-653-9253
126,도래울점,경기,고양시,경기 고양시 덕양구 도래울2로 3,031-963-7077
127,궐동점,경기,오산시,경기 오산시 궐리사로8,031-372-9257
128,학익점,인천,미추홀구,인천 미추홀구 소성로230,032-875-9282
129,송내점,경기,부천시,경기 부천시 송내대로16,032-710-3477
130,미사강변점,경기,하남시,경기 하남시 미사강변한강로158번길138,031-8027-8388
131,원종역점,경기,부천시,경기 부천시 원종로65번길14-23,032-678-8825
132,동탄역점,경기,화성시,경기 화성시 동탄대로591,031-376-8252
133,양지점,경기,용인시,경기 용인시 처인구 양지면 양지로148번길7,031-322-8282
134,상대점,경남,진주시,경남 진주시 동진로167번길15-8,055-762-9982
135,진동점,경남,창원시,경남 창원시 마산합포구 진동면 신서촌2길34,055-271-9905
136,진주문산점,경남,진주시,경남 진주시 문산읍 소문길51,055-761-9992
137,한강센트럴자이점,경기,김포시,경기 김포시 태장로823,031-996-2845
138,개운한신점,강원,원주시,강원 원주시 송림길48,033-766-9262
139,정림점,대전,서구,대전 서구 정림로70번길 6,042-583-9945
140,신봉점,경기,용인시,경기 용인시 수지구 신봉1로157,031-261-9282
141,청북점,경기,평택시,경기 평택시 청북읍 안청로2길33-36,031-682-2223
142,엄사점,충남,계룡시,"충남 계룡시 엄사면 전원1길 33-9, 1층",042-841-1159
143,검단파라곤센트럴점,인천,서구,인천 서구 이음2로29,032-566-5573
144,동양대점,경기,동두천시,경기 동두천시 평화로2784,031-866-9285
145,백천점,경북,경산시,경북 경산시 경청로219길4-6,053-816-8777
146,흥남점,경남,거제시,경남 거제시 장목면 흥남길52,055-736-0562
147,봉림점,경남,창원시,경남 창원시 의창구 대봉로20,055-277-8295
